id,source,jim_crow,type,chapter_num,section_num,chapter_text,section_text
1913_public laws_124_6,murray,1,public laws,123,5,CHAPTER 123 AN ACT TO RESTORE TO THE INDIANS RESIDING IN ROBESON AND ADJOINING COUNTIES THEIR RIGHTFUL AND ANCIENT NAME. The General Assembly of North Carolina do enact:,"Neither this act nor any other act relating to said Cherokee Indians of Robeson County shall be construed so as to impose on said Indians any powers, privileges, rights or immunities, or #NAME? limitations on their power to contract, heretofore enacted with reference to the eastern band of Cherokee Indians residing in Cherokee, Graham, Swain, Jackson and other adjoining counties in North Carolina, or any other band or tribe of Cherokee Indians other than those now residing, or who have, since the Revolutionary War, resided in Robeson County, nor shall said Cherokee Indians of Robeson County, as herein designated, be subject to the limitations provided in sections nine hundred and seventy-five and nine hundred and seventy-six of The Revisal of one thousand nine hundred and five of North Carolina. ; >"
1913_public laws_84_5,murray,1,public laws,83,4,CHAPTER 83 5 ; I AN ACT TO COMPEL ALL PERSONS AND CORPORATIONS ENGAGED IN MANUFACTURING OR OTHER BUSINESS ENTERPRISES WHERE MALE AND FEMALE EMPLOYEES ARE EMPLOYED TO PROVIDE SEPARATE AND DISTINCT TOILETS. The General Assembly of North Carolina do enact:,"That it shall be the duty of the persons or corporation mentioned under this act to locate their toilets for males and females, white and colored, in separate parts of their buildings or grounds, in buildings hereafter erected, and in those now erected, all closets shall be separated by substantial walls of brick or timber, and any employee who shall willfully intrude or use any toilet not intended for his or her sex or color shall be guilty of a misdemeanor and upon conviction shall be fined five dollars."
1899_public laws_385_4,murray,1,public laws,384,3,"CHAPTER 384 An act to promote the comfort of travellers on railroad trains, and for other purposes. The General Assembly of North Carolina do enact :","That when any coach or compartment of a car for either race shall be completely filled at a station where no extra coach or car can be had and the increased number of passengers could not be foreseen, the conductor in charge of such train is hereby authorized to assign and set apart a portion of a car or compartment assigned for passengers of one race to passengers of the other race."
1899_public laws_385_6,murray,1,public laws,384,5,"CHAPTER 384 An act to promote the comfort of travellers on railroad trains, and for other purposes. The General Assembly of North Carolina do enact :","That any railroad company failing to comply in good faith with the provisions of this act shall be liable to a penalty of one hundred dollars per day, to be recovered in an action brought against such company by any passenger on any train or boat of any railroad or steamboat company which is required by: this act to furnish separate .accommodations to the races, who has been furnished accommodations on such railroad train or steamboat in only a car or com partment with a person of a different race in violation of the provisions. of this act."
1913_public laws_84_2,murray,1,public laws,83,1,CHAPTER 83 5 ; I AN ACT TO COMPEL ALL PERSONS AND CORPORATIONS ENGAGED IN MANUFACTURING OR OTHER BUSINESS ENTERPRISES WHERE MALE AND FEMALE EMPLOYEES ARE EMPLOYED TO PROVIDE SEPARATE AND DISTINCT TOILETS. The General Assembly of North Carolina do enact:,"That all persons and corporations employing males and females in any manufacturing industry, or other business employing more than two males and females in towns and cities having a population of one thousand persons or more, and where such employees are required to do indoor work chiefly, shall provide and keep in a cleanly condition separate and distinct toilet rooms for such employees, said toilets to be lettered and marked in a distinct manner, so as to, separate the white and colored males and females of both sexes: Provided that the provisions of this section shall not apply to cases where toilet arrangements cr facilities are furnished by said employer off the premises occupied by him."
1901_public laws_504_3,murray,1,public laws,503,2,CHAPTER 503 An act relating to the State Library. The General Assembly of North Carolina do enact:,That the State Librarian be and he is hereby authorized to fit up a separate place for the use of the colored people who may come to the Library for the purpose of reading books or periodicals.
1907_public laws_1005_2,murray,1,public laws,1004,1,"CHAPTER 1004 AN ACT TO AMEND SECTION 975 OF THE REVISAL OF 1905, TO PROVIDE FOR THE INCREASE OF POWER OF CHEROKEE INDIANS AND OTHERS TO TRADE, CON- TRACT OR BARTER. The General Assembly of North Carolina do enact:","That section nine hundred and seventy-five of the Revisal of one thousand nine hundred and five be and the same is hereby amended by adding at the end of said section, after the word same, the following: Provided, that this section shall not apply to any person of Cherokee Indian blood or any Cherokee Indian who understands the English language and who can speak and write the same intelligently."
1907_public laws_851_9,murray,1,public laws,850,8,"CHAPTER 850 AN ACT TO PROVIDE FOR THE SEPARATE ACCOMMODA- TION OF WHITE AND COLORED PASSENGERS UPON STREHT CARS, AND FOR OTHER PURPOSBES. The General Assembly of North Carolina do enact:","That no street, suburban or inter-urban railway company, its agents, servants or employees, shall be liable to any person on account of any mistake in the designation of any passenger to a seat or part of such car set apart for passengers of the other race. ,"
1941_public laws_371_2,murray,1,public laws,370,1,"CHAPTER 370 AN ACT TO PROVIDE BETTER EDUCATIONAL AD- VANTAGES FOR MEMBERS OF THE INDIAN RACE IN EASTERN NORTH CAROLINA NOT OTHERWISE PRO- VIDED FOR. WHEREAS, there are no provisions now made by the State for the education of certain Indian children of Eastern North Carolina beyond the high school grades; and WHEREAS, there are Indian schools in the Counties of Samp- son, Hoke, Scotland, Cumberland, Bladen, Person, and Harnett; and WHEREAS, the Indian children enrolled in these schools have no place provided by the State to pursue their education beyond the eleventh grade and in some instances not even past the elementary grades; and WHEREAS, ample provisions have been provided by the State for higher education and teacher training of the other races; and WHEREAS, it is the desire of the department of education that better educational advantages be provided for the Indian chil- dren, including courses of instruction in teacher training and vocational education in order that equal justice under the Con- stitution may be done toward these people: Now, therefore, The General Assembly of North Carolina do enact:","That the State Board of Education be, and it is hereby, authorized and empowered to establish a vocational and normal school at any place it may deem most suitable for teaching and training the young Indian men and women not otherwise provided for."
1941_public laws_371_3,murray,1,public laws,370,2,"CHAPTER 370 AN ACT TO PROVIDE BETTER EDUCATIONAL AD- VANTAGES FOR MEMBERS OF THE INDIAN RACE IN EASTERN NORTH CAROLINA NOT OTHERWISE PRO- VIDED FOR. WHEREAS, there are no provisions now made by the State for the education of certain Indian children of Eastern North Carolina beyond the high school grades; and WHEREAS, there are Indian schools in the Counties of Samp- son, Hoke, Scotland, Cumberland, Bladen, Person, and Harnett; and WHEREAS, the Indian children enrolled in these schools have no place provided by the State to pursue their education beyond the eleventh grade and in some instances not even past the elementary grades; and WHEREAS, ample provisions have been provided by the State for higher education and teacher training of the other races; and WHEREAS, it is the desire of the department of education that better educational advantages be provided for the Indian chil- dren, including courses of instruction in teacher training and vocational education in order that equal justice under the Con- stitution may be done toward these people: Now, therefore, The General Assembly of North Carolina do enact:","That in said vocational and normal school so created there shall be provided such courses of instruction in vocational education, teacher training and higher education as the State Board of Education and the State Superintendent of Public Instruction may deem necessary and proper in order to furnish said Indians the necessary and proper educational facilities. A preparatory department may be established in connection with any such school, and the said State Board of Education shall have the power and authority to remove or close any such school established under the authority contained in this Act."
1927_public laws_163_2,murray,1,public laws,162,1,"CHAPTER 162 AN ACT RELATING TO THE ORGANIZATION AND CON. TROL OF THE COLORED ORPHANAGE OF NORTH CAROLINA. Whereas, by chapter forty-seven, Private Laws of one thou- sand eight hundred and eighty-seven, the colored Orphar Asylum of North Carolina was created a body corporate under and by which an orphanage for the care and maintenance, anc the mental, moral and industrial education and training of colored orphan children was established at Oxford, in Granville County; and, Whereas, the General Assembly has heretofore made ap- propriations to said institution and such appropriations have increased from year to year; and, Whereas, it is desired that the charter of said corporation be amended so that it may more readily conform to the desires of the General Assembly with respect to the expenditure of the funds appropriated by it to said institution; Now, therefore, The General Assembly of North Carolina do enact:","That the corporation created by chapter fortyseven, Private Laws of one thousand eight hundred and eighty-seven, be, and it is hereby, continued as a body corporate for a period of sixty years from the date of the ratification of this act under the name and style of The Colored Orphanage of North Carolina. The said corporation shall have power to receive, purchase, and hold property, real and personal, not to exceed in value one million dollars, to sue and be sued, to plead and be impleaded, to receive gifts, donations and appropriations, to contract and be contracted with, and to do all other acts usual and necessary in the conduct of such corporation, and to carry out the intent and purposes thereof under and as subscribed by the laws of North Carolina."
1943_session laws_382_2,murray,1,session laws,381,1,CHAPTER 381 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF DELINQUENT NEGRO GIRLS IN NORTH CAROLINA. The General Assembly of North Carolina do enact:,"An institution, to be known and designated as State Training School for Negro Girls, is hereby created, and such institution is authorized and empowered to accept and use donations and appropriations and do all other things necessary and requisite to be done in furtherance of the purpose of its organization and existence as hereinafter set forth."
1945_session laws_1097_2,murray,1,session laws,1096,1,CHAPTER 1096 AN ACT TO PROVIDE A STATE-WIDE PROGRAM OF HOSPITAL AND MEDICAL CARE; TO CREATE THE NORTH CAROLINA MEDICAL CARE COMMISSION; TO MAKE CONTINGENT APPROPRIATIONS FOR CONTRI- BUTIONS FOR THE CARE OF INDIGENT SICK IN AP- PROVED HOSPITALS; TO MAKE SURVEYS AND REC- OMMENDATIONS FOR THE CONSTRUCTION OF NEC- ESSARY HOSPITALS AND HEALTH CENTERS; TO PROVIDE FOR THE EXPANSION OF THE MEDICAL SCHOOL OF THE UNIVERSITY OF NORTH CAROLINA; TO PROVIDE FOR THE CONSTRUCTION OF A CENTRAL HOSPITAL AS A MEMORIAL TO NORTH CAROLINA DEAD OF WORLD WAR I AND WORLD WAR II; AND OTHER PROVISIONS RELATING THERETO. The General Assembly of North Carolina do enact:,"That Chapter one hundred and thirty-one of the General Statutes of North Carolina be, and the same hereby is, amended by adding the following articles and sections. Article 12 Sec. 131-117. North Carolina Medical Care Commission. There is hereby created a State agency to be known as The North Carolina Medical Care Commission, which shall be composed of twenty members nominated and appointed as follows: Three members shall be nominated by the Medical Society of the State of North Carolina; one member by the North Carolina Hospital Association; one member by the North Carolina Dental Society; one member by the North Carolina Nurses Association; one member by the North Carolina Pharmaceutical Association, and one member by the Duke Foundation, for appointment by the Governor. Ten members of said Commission shall be appointed by the Governor and selected so as to fairly represent agriculture, industry, labor, and other interests and groups in North Caro. lina. In appointing the members of said Commission, the Governor shall designate the term for which each member is appointed. Four of said members shall be appointed for a term of one year; four for a term of two years; four for a term oj three years; five for a term of four years; and thereafter, all appointments shall be for a ter mof four years. All vacancies shall be filled by the Governor for the unexpired term. The Commissioner of Public Welfare, and the Secretary of the State Board of Health shall be ex officio members of the Commission, without voting power. The Commission shall elect, with the approval of the Governor, a chairman and a vice chairman. All members, except the Commissioner of Public Welfare, and the Secretary of the State Board of Health shall receive a per diem of seven dollars ($7.00) and necessary travel expenses. SEC. 181-118. Commission Authorized to Employ Executive Secretary. The North Carolina Medical Care Commission is authorized and empowered to employ, subject to the approval of the Governor, an executive secretary, and to determine his or her salary under the provisions of the Personnel Act. The executive secretary may employ such additional persons as may be required to carry out the provisions of this Act, subject to approval of the Commission, and the provisions of the Personnel Act. Office space for the Commission shall be provided by the Board of Public Buildings and Grounds, in Raleigh. SEc. 131-119. Contribution for Indigent Patients. The North Carolina Medical Care Commission, in accordance with rules and regulations promulgated by it, is hereby authorized and empowered to contribute not exceeding one dollar ($1.00) per day for each indigent patient hospitalized in any hospital approved by it, provided the balance of the cost shall be provided by the county or city having responsibility for the care of such indigent patient, or from other sources. The Commission shall promulgate rules and regulations for determining the indigency of the persons hospitalized and the basis upon which hospitals and health centers shall qualify to receive the benefits of this section. For the purpose of carrying out the provisions of this section, there is hereby appropriated from the General Fund to the North Carolina Medical Care Commission for the fiscal year ending June thirtieth, one thousand nine hundred and forty-six, the sum of five hundred thousand dollars ($500,- 000.00); and for the fiscal year ending June thirtieth, one thousand nine hundred and forty-seven, the sum of five hundred thousand dollars ($500,000.00), provided that the benefits of this section shall apply only to hospitals publicly owned, or owned and operated by charitable, nonprofit, nonstock corporations, and provided further that these appropriations provided in this section shall not be available until all provisions of Section twenty-three and one half of the Committee Substitute for House Bill Number eleven, the General Appropriations Bill of one thousand nine hundred and forty-five, relating to the emergency salary for the public school teachers and State employees shall have been completely and fully provided for. Sec. 131-120. Construction and Enlargement of Local Hospitals. The North Carolina Medical Care Commission is hereby authorized and empowered to begin immediate surveys of each county in the State to determine: (a) The hospital needs of the county or area; (b) The economic ability of the county or area to support adequate hospital service; (c) What assistance by the State, if any, is necessary to supplement all other available funds, to finance the construction of new hospitals and health centers, additions to existing hospitals and health centers, and necessary equipment to provide adequate hospital service for the citizens of the county or area; and to report this information, together with its recommendations, to the Governor, who shall transmit this report to the next session of the General Assembly for such legislative action as it may deem necessary to effectuate an adequate Statewide hospital program. The North Carolina Medical Care Commission is hereby authorized and empowered to act as the agency of the State of North Carolina for the purpose of setting up and administering any State-wide plan for the construction and maintenance of hospitals, public health centers and related facilities, which is now or may be required in order to comply with any Federal law and in order to receive and administer any funds which may be provided by an Act of Congress for such purpose; and the Commission, as such agency of the State of North Carolina with the advice of the State Advisory Council set up as hereinafter provided, shall have the right to promulgate such Statewide plans for the construction and maintenance of hospitals, medical centers and related facilities, or such other plans as may be found desirable and necessary in order to meet the requirements and receive the benefits of any Federal legislation with regard thereto. The said Commission shall be authorized to receive and administer any funds which may be appropriated by any Act of Congress for the construction of hospitals, medical centers and related activities or facilities, which may at any time in the future become available for such purposes; said Commission shall be further authorized to receive and administer any other Federal funds, which may be available, in the furtherance of any activity in which the Commission is authorized and empowered to engage in under the provisions of this Act establishing said Commission, and in connection therewith the Commission is authorized to adopt such rules and regulations as may be necessary to carry out the intent and purposes of this Act; to adopt such reasonable and necessary standards with reference thereto as may be proper to fully cooperate with the Surgeon General of the United States with the approval of the Federal Advisory Council in the use of funds provided by the Federal government, and at all times make such reports and give such information to the Surgeon General of the United States as may be required. That the Governor is hereby authorized and empowered to set up and establish a State Advisory Council to the North Carolina Medical Care Commission, to consist of five members, who shall each serve for a term of four years, with the right on the part of the Governor to fill vanacies for unexpired terms, said council to include representatives of non-government organizations or groups, and of State agencies, concerned with the operation, construction, or utilization of hospitals or medical centers, or allied facilities, which Advisory Council, when set up by the Governor, shall advise with the North Carolina Medical Care Commission with respect to carrying out the purposes and provisions of this Act. That the North Carolina Medical Care Commission and the said State Advisory Council set up by the Governor as-herein authorized, shall be fully authorized and empowered to do all such acts and things as may be necessary, to authorize the State of North Carolina to receive the full benefits of any Federal laws which are or may be enacted for the construction and maintenance of hospitals, health centers or allied facilities. That none of the provisions hereof shall authorize the appropriation of any State funds for the purposes herein set forth except as the same may be specifically provided for in this Act. Sec. 131-121. Medical Student Loan Fund. The North Carolina Medical Care Commission is hereby authorized and empewered, in accordance with such rules as it may promulgate, to make loans to students who may wish to become physicians and who are accepted for enrollment in any standard four-year medical school in North Carolina, provided such student shall agree, that upon graduation and upon being licensed, to practice medicine in some rural area in North Carolina for at least four years. Rural area, for the purpose of this section, shall mean any town or village having less than two thousand five hundred -2,500 population according to the last decennial census, or area outside and around such towns or villages. Such loans shall bear such rate of interest as may be fixed by the Commission, not to exceed four per cent per annum. _ For the purpose of carrying out the provisions of this sec- tion, there is hereby appropriated from the General Fund for the fiscal year ending June thirtieth, one thousand nine hundred and forty-six, to the North Carolina Medical Care Commission the sum of fifty thousand dollars ($50,000.00): The State Treasurer shall set up on his records an account to which shall be deposited said amount, and from which withdrawals shall be made upon vouchers made by the State Auditor upon request of the North Carolina Medical Care Commission. This appropriation shall not lapse at the end of any biennium, but shall remain available for the purposes herein stated. Sec. 131-122. Expansion of Medical School of the University of North Carolina. In order to carry forward the Statewide plan of hospital and medical care, the Board of Trustees of the University of North Carolina, by and with the approval of the Governor and the North Carolina Medical Care Commission is hereby authorized and empowered to expand the two-year Medical School of the University of North Carolina into a standard four-year medical school. The North Carolina Medical Care Commission is authorized and directed to make a complete survey of all factors involved in determining the location of the expanded medical school, giving especial attention to the advantages and disadvantages of locating said school in one of the large cities of the State, and shall render a report of their findings to the Governor and Board of Trustees of the University of North Carolina. Provided that no action shall be taken under this provision of this section, other than the work of the Commission, until a survey has been made and a report submitted to the Governor and Medical Care Commission by the Rockefeller Foundation or some other accredited agency with experience in the field of surveying large areas in connection with medical education and medical care. The report of such agency is to be submitted to the Governor and the Medical Care Commission in a reasonable time in advance of the report of the Governor and the Commission to the Board of Trustees. Sec. 131-123. Appropriations for Expenses of the North Carolina Medical Care Commission. In order to provide funds for the expenses of the North Carolina Medical Care, Commission, there is hereby appropriated from the General Fund for the fiscal year ending June thirtieth, one thousand nine hundred and forty-six, the sum of fifty thousand. dollars ($50,- 000.00) and for the fiscal year ending June thirtieth, one thousand nine hundred and forty-seven, the sum of fifty thousand dollars ($50,000.00). SEc. 131-124. Medical Training for Negroes. The North Carolina Medical Care Commission shall make careful investigation of the methods for providing necessary medical training for Negro students, and shall report its findings to the next session of the General Assembly. In addition to the benefits provided by Section one hundred and sixteen one hundred and ten of the General Statutes of North Carolina, the North Carolina Medical Care Commission is hereby authorized to make loans to Negro medical students from the fund provided in Section one hundred and thirty-oneone hundred and twenty-one, subject to such rules, regulations, and conditions as the Commission may prescribe. Sec. 131-125. Acceptance of Gifts, Grants and Donations. The North Carolina Medical Care Commission is hereby authorized and empowered to accept and administer gifts, grants, or donations which may be made by the Federal government or by any person, firm, or corporation for the purpose of carrying out the objects of this Act, provided the acceptance of such gifts, grants, or donations shall be made without requiring the surrender of authority or control in the administration thereof by the North Carolina Medical Care Commission. SEc. 131-126. Hospital Care Association. The North Carolina Medical Care Commission is hereby authorized to encourage the development of group insurance plans, the Blue Cross Plan, and other plans which provide for insurance for the public against the costs of disease and illness."
1947_session laws_822_3,murray,1,session laws,821,2,"CHAPTER 821 AN ACT AUTHORIZING MUNICIPAL CORPORATIONS TO ACQUIRE, MANAGE AND CONTROL CERTAIN LANDS FOR CEMETERY PURPOSES, AND AUTHORIZ- ING APPROPRIATIONS FOR SUCH PURPOSES. The General Assembly of North Carolina do enact:","In the event said property has been heretofore used exclusively for the burial of members of the negro race, then said cemetery or burial ground so established shall remain and be established as a burial ground for the negro race. In the event said property has been heretofore used exclusively for the burial of members of the white race, then said cemetery or burial ground so established shall remain and be established as a burial ground for the white race. ;"
