id,source,jim_crow,type,chapter_num,section_num,chapter_text,section_text,extrinsic
1943_session laws_382_6,murray,1,session laws,381,5,CHAPTER 381 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF DELINQUENT NEGRO GIRLS IN NORTH CAROLINA. The General Assembly of North Carolina do enact:,"The board of directors shall have the general superintendence, management, and control of the institution; of the grounds and buildings, officers, and employees thereof; of the inmates therein and all matters relating to the government, discipline, contracts, and fiscal concerns thereof; and may make such rules and regulations as may seem to them necessary for carrying out the purposes of the institution. And the board shall have the right to keep, restrain, and control the inmates of the institution until such time as the board may deem proper for their discharge under such proper and humane rules and regulations as the board may adopt. The board shall endeavor as far as possible to classify the inmates and keep the different classes in separate wards or divisions, so as to produce the best results in the reformatory work. The board of directors shall constitute a board of parole of the institution and shall have the power to parole and discharge the inmates under such rules and regulations as the board may prescribe.",0
1943_session laws_382_7,murray,1,session laws,381,6,CHAPTER 381 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF DELINQUENT NEGRO GIRLS IN NORTH CAROLINA. The General Assembly of North Carolina do enact:,"The board of directors shall appoint a superintendent of the institution, who shall be a woman of professional social work training and experience and who shall meet the personnel standards established by the State Board of Charities and Public Welfare, and may fix the compensation of the superintendent, subject to the approval of the Budget Bureau, and may discharge the superintendent at any time for cause.",0
1943_session laws_382_9,murray,1,session laws,381,8,CHAPTER 381 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF DELINQUENT NEGRO GIRLS IN NORTH CAROLINA. The General Assembly of North Carolina do enact:,"The superintendent shall have power to grant a conditional release to any inmate of the institution under the rules adopted by the board of directors, and such conditional release may be terminated at any time by the written revocation of the superintendent, which written revocation shall be sufficient authority for any officer of the school or peace officer to apprehend any inmate named in such written revocation, in any county of the State, and to return such inmate to the institution. Final discharge of any inmate of the institution may be granted by the superintendent under rules adopted by the board of directors at any time after such inmate has been admitted to the institution: Provided, however, that final discharge must be granted before such inmate shall arrive at her twenty-first birthday.",0
1945_session laws_460_4,murray,1,session laws,459,3,"CHAPTER 459 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF FEEBLE MINDED NEGRO CHILDREN IN NORTH CAROLINA. WHEREAS, pursuant to a joint resolution of the General Assembly of one thousand nine hundred and forty-three, the Governor appointed a commission composed of Honorable Thomas OBerry, Chairman, Honorable K. A. Pittman, Honorable W. Frank Taylor, Honorable Robert P. Burns, and Honorable Charles F. Honeycutt, to inquire into the conditions, care, treat- ment, and training of the negro feeble minded in the Goldsboro State Hospital for the Insane, and other similar institutions of the State, with the view of ,recommending a program for the care and training of the feeble minded negro children, to the end that they might be placed under the supervision of people skilled in giving the right kind of care and treatment to such children, and investigate the advisability and possibility of se- curing additional facilities for institutional care and treatment of such children; and WHEREAS, the said committee, after having fully complied with the intent of said resolution, has made its report to the Governor, revealing that there are some one thousand feeble | minded negro children in the State in need of hespital care or training, and recommending that a suitable hospital for the treatment of such children be built near the site and in con- junction with the State Hospital for Negroes at Goldsboro, sufficient to take care of at least six hundred patients, reference to which re port is hereby made for more detailed recommen- dations; and WHEREAS, it is the desire of the General Assembly of North Carolina that the recommendations of said committee be sub- stantially complied with as early as feasible: Now, therefore, The General Assembly of North Carolina do enact:","The board of directors, with the approval of the Governor and the Council of State, is authorized to secure by gift or purchase suitable real estate within the State at such place as the board may deem best for the purpose, and to erect or improve buildings thereon, for carrying out the purposes of the institution; but no real estate shall be purchased or any commitments made for the erection or permanent improvements of any buildings involving the use of State funds unless and until an appropriation for permanent improvements of the institution is expressly authorized by the General Assembly; but this prehibition shall not prevent the directors from purchasing or improving real estate from funds that may be donated for the purpose. However, the board is authorized and directed to have prepared the necessary plans and specifications for such buildings as may be deemed necessary to establish said school, incurring the necessary expense of employing engineers and architects, which amount is hereby authorized to be paid out of the Contingency and Emergency Fund of the State.",0
1945_session laws_460_6,murray,1,session laws,459,5,"CHAPTER 459 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF FEEBLE MINDED NEGRO CHILDREN IN NORTH CAROLINA. WHEREAS, pursuant to a joint resolution of the General Assembly of one thousand nine hundred and forty-three, the Governor appointed a commission composed of Honorable Thomas OBerry, Chairman, Honorable K. A. Pittman, Honorable W. Frank Taylor, Honorable Robert P. Burns, and Honorable Charles F. Honeycutt, to inquire into the conditions, care, treat- ment, and training of the negro feeble minded in the Goldsboro State Hospital for the Insane, and other similar institutions of the State, with the view of ,recommending a program for the care and training of the feeble minded negro children, to the end that they might be placed under the supervision of people skilled in giving the right kind of care and treatment to such children, and investigate the advisability and possibility of se- curing additional facilities for institutional care and treatment of such children; and WHEREAS, the said committee, after having fully complied with the intent of said resolution, has made its report to the Governor, revealing that there are some one thousand feeble | minded negro children in the State in need of hespital care or training, and recommending that a suitable hospital for the treatment of such children be built near the site and in con- junction with the State Hospital for Negroes at Goldsboro, sufficient to take care of at least six hundred patients, reference to which re port is hereby made for more detailed recommen- dations; and WHEREAS, it is the desire of the General Assembly of North Carolina that the recommendations of said committee be sub- stantially complied with as early as feasible: Now, therefore, The General Assembly of North Carolina do enact:","The board of directors shall have the general superintendence, management, and control of the institution; of the grounds and buildings, officers, and employees thereof; of the inmates therein and all matters relating to the government, discipline, contracts, and fiascal concerns thereof; and may make such rules and regulations as may seem to them necessary for carrying out the purposes of the institution. And the board shall have the right to keep, restrain, and control the inmates of the institution until such time as the board may deem proper for their discharge under such proper and humane rules and regulations as the board may adopt. The board shall endeavor as far as possible to classify the inmates and keep the different classes in separate wards or divisions, so as to produce the best results in their rehabilitation.",0
1945_session laws_460_7,murray,1,session laws,459,6,"CHAPTER 459 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF FEEBLE MINDED NEGRO CHILDREN IN NORTH CAROLINA. WHEREAS, pursuant to a joint resolution of the General Assembly of one thousand nine hundred and forty-three, the Governor appointed a commission composed of Honorable Thomas OBerry, Chairman, Honorable K. A. Pittman, Honorable W. Frank Taylor, Honorable Robert P. Burns, and Honorable Charles F. Honeycutt, to inquire into the conditions, care, treat- ment, and training of the negro feeble minded in the Goldsboro State Hospital for the Insane, and other similar institutions of the State, with the view of ,recommending a program for the care and training of the feeble minded negro children, to the end that they might be placed under the supervision of people skilled in giving the right kind of care and treatment to such children, and investigate the advisability and possibility of se- curing additional facilities for institutional care and treatment of such children; and WHEREAS, the said committee, after having fully complied with the intent of said resolution, has made its report to the Governor, revealing that there are some one thousand feeble | minded negro children in the State in need of hespital care or training, and recommending that a suitable hospital for the treatment of such children be built near the site and in con- junction with the State Hospital for Negroes at Goldsboro, sufficient to take care of at least six hundred patients, reference to which re port is hereby made for more detailed recommen- dations; and WHEREAS, it is the desire of the General Assembly of North Carolina that the recommendations of said committee be sub- stantially complied with as early as feasible: Now, therefore, The General Assembly of North Carolina do enact:","The board of directors shall appoint a superintendent of the institution, who shall be a person of professional training and experience in the care and treatment of feeble minded persons, and may fix the compensation of the superintendent, subject to the approval of the Budget Bureau, and may discharge the superintendent at any time for cause.",0
1945_session laws_460_10,murray,1,session laws,459,9,"CHAPTER 459 AN ACT PROVIDING FOR THE ESTABLISHMENT OF AN INSTITUTION FOR THE CARE OF FEEBLE MINDED NEGRO CHILDREN IN NORTH CAROLINA. WHEREAS, pursuant to a joint resolution of the General Assembly of one thousand nine hundred and forty-three, the Governor appointed a commission composed of Honorable Thomas OBerry, Chairman, Honorable K. A. Pittman, Honorable W. Frank Taylor, Honorable Robert P. Burns, and Honorable Charles F. Honeycutt, to inquire into the conditions, care, treat- ment, and training of the negro feeble minded in the Goldsboro State Hospital for the Insane, and other similar institutions of the State, with the view of ,recommending a program for the care and training of the feeble minded negro children, to the end that they might be placed under the supervision of people skilled in giving the right kind of care and treatment to such children, and investigate the advisability and possibility of se- curing additional facilities for institutional care and treatment of such children; and WHEREAS, the said committee, after having fully complied with the intent of said resolution, has made its report to the Governor, revealing that there are some one thousand feeble | minded negro children in the State in need of hespital care or training, and recommending that a suitable hospital for the treatment of such children be built near the site and in con- junction with the State Hospital for Negroes at Goldsboro, sufficient to take care of at least six hundred patients, reference to which re port is hereby made for more detailed recommen- dations; and WHEREAS, it is the desire of the General Assembly of North Carolina that the recommendations of said committee be sub- stantially complied with as early as feasible: Now, therefore, The General Assembly of North Carolina do enact:","Any child entered into the school may be discharged therefrom or returned to his oy her parents or guardian when, in the judgment of the directors, it will not be beneficial to such pupil or to the best interest of the school to be retained longer therein.",0
1949_session laws_1133_31,murray,1,session laws,1132,30,"384 CHAPTER 1132 AN ACT TO DEFINE, CLASSIFY AND REGULATE MO- TOR CARRIERS OF PASSENGERS OVER THE HIGH- WAYS OF THE STATE FOR COMPENSATION: CON- FERRING UPON THE UTILITIES COMMISSION THE POWER TO GRANT CERTIFICATES AND PERMITS OF PUBLIC CONVENIENCE AND NECESSITY; TO FIX RATES, TARIFFS AND SCHEDULES; TO REQUIRE THE ESTABLISHMENT AND MAINTENANCE OF PAS- SENGER STATIONS; TO PRESCRIBE AND ENFORCE RULES FOR THE SAFETY AND PROTECTION OF THE TRAVELING PUBLIC AND GENERALLY TO REGU- LATE, IN THE PUBLIC INTEREST, MOTOR CARRIERS OF PASSENGERS OPERATING IN THIS STATE; AND TO REPEAL ARTICLE 6, CHAPTER 62 OF THE GEN- ERAL STATUTES OF NORTH CAROLINA OF 19438 Ai The General Assembly of North Carolina do enact:","Unlawful operation. -1 Any person, whether carrier, or any officer, employee, agent or representative thereof, knowingly and willfully violating any provision of this Act or any rule, regulation, requirement, or order thereunder, or any term of condition of any certificate or permit, for which a penalty is not otherwise herein provided, shall be guilty of a misdemeanor, and upon conviction thereof be fined not more than one hundred dollars ($100.00) for the first offense and not more than five hundred dollars ($500.00) for any subsequent offense. -2 If any motor carrier, or any other person or corporation, shall operate a motor vehicle for the transportation of passengers for compensation in violation of any provision of this Act, except as to the reasonableness of rates or charges and the discriminatory character thereof, or shall operate in violation of any rule, regulation, requirement or order of the commission, or of any term or condition of any certificate or permit, the commission or any holder of a certificate or permit duly issued by the commission may apply to the resident Superior Court Judge of any judicial district where such motor carrier or other person or corporation so operates, or to any Superior Court Judge holding court in such judicial district, for the enforcement of any provision of this Act, or of any rule, regulation, requirement, order, term or condition of the commission. Such court shall have jurisdiction to enforce obedience to this Act or to any rule, order, or decision of the commission by a writ of injunction or other process, mandatory or otherwise, restraining such carrier, person or corporation, or its offices, agents, employees and representatives from further violation of this Act or of any rule, order, regulation, or decision of the commission. -3 Any person, whether carrier, passenger, shipper, consignee, or any officer, employee, agent, or representative thereof, who shall knowingly offer, grant, or give or solicit, accept, or receive any rebate, concession, or discrimination in violation of any provision of this Act, or who by means of any FALSE statement or representation, or by the use of any FALSE or fictitious bill, bill of lading, receipt, voucher, roll, account, claim, certificate, affidavit, deposition, lease, or bill of sale, or by any other means or device, shall knowingly and willfully by any such means or otherwise fraudulently seek to evade or defeat regulations as in this Act provided for motor carriers, shall be deemed guilty of a misdemeanor and upon conviction thereof be fined not more than five hundred dollars ($500.00) for the first offense and not more than two thousand dollars ($2,000.00) for any subsequent offense. -4 It shall be unlawful for any special agent, accountant, auditor, inspector, or examiner to knowingly and willfully divulge any fact or information which may come to his knowledge during the course of any examination or inspection made under authority of Section 25 of this Act, except as he may be directed by the commission or by a court or judge thereof. Nothing in this Act shall be construed to prevent the giving of such information in response to any legal process issued under the authority of any court, or to any officer or agent of the State or of the government of the United States, in the exercise of his power, or to any officer or other duly authorized person seeking such information for the prosecution of persons charged with or suspected of crimes or to another carrier, or its duly authorized agent, for the purpose of adjusting mutual traffic accounts in the ordinary course of business of such carriers. -5 Any motor carrier, or other person, or any officer, agent, employee, or representative thereof, who shall willfully fail or refuse to make a report to the commission as required by this Act, or other applicable law, or to make specific and full, true, and correct answer to any question within thirty days from the time it is lawfully required by the commission so to do, or to keep accounts, records, and memoranda in the form and manner prescribed by the commission, or shall knowingly and willfully falsify, destroy, mutilate, or alter any such report, account, record, or memorandum, or shall knowingly and willfully neglect or fail to make true, and correct entries in such accounts, records, or memoranda of all facts and transactions appertaining to the business of the carrier, or person required under this Act to keep the same, or shall knowingly and willfully keep any accounts, records, or memoranda contrary to the rules, regulations, or orders of the commission with respect thereto, shall be deemed guilty of a misdemeanor and upon conviction thereof be subject for each offense to a fine of not more than five thousand dollars ($5,000.00). As used in this Subsection the words kept and keep shall be construed to mean made, prepared, or compiled, as well as retained. It shall be the duty of the commission to prescribe and enforce such general rules and regulations as it may deem necessary to compel all motor carriers to keep accurate records of all revenue received by them to the end that any tax levied and assessed by the State of North Carolina upon revenues may be collected. Any agent or employee of a motor carrier who shall willfully and knowingly make a FALSE report or record of fares, charges, or other revenue received by a carrier or collected in its behalf shall be guilty of a misdemeanor and upon conviction shall be fined or imprisoned, or both, in the discretion of the court.",1
1931_public laws_384_2,project experts,1,public laws,383,1,"CHAPTER 383 AN ACT TO PLACE MRS. NANCY A. FULP, WIDOW OF DAVID H. FULP OF ROCKINGHAM COUNTY, ON THE PENSION ROLL. The General Assembly of North Carolina do enact:","That Mrs. Nancy A. Fulp, widow of David H. Fulp of Rockingham County, a Confederate soldier, be, and she is hereby placed on the Confederate Pension Roll of the State in Class B, and the State Auditor is hereby authorized and directed to issue and pay to her a pension at the same times and in the same amounts as may be paid pensioners in said class: Provided, the same be referred to the State Board of Pensions for investigation, and is found by said Board to be entitled to said pension under the general pension laws.",0
1929_public laws_196_12,project experts,1,public laws,195,11,"CHAPTER 195 AN ACT TO AMEND CHAPTER 426, PUBLIC-LOCAL LAWS 1921, AND CONSOLIDATED STATUTES 5847 RE- LATING TO THE INDIANS OF ROBESON COUNTY, AND TO CODIFY AND PRESCRIBE THE RACIAL QUALIFICATION OF THOSE SEEKING ADMISSION INTO CHEROKEE INDIAN NORMAL SCHOOL, AT PEMBROKE, AND IN THE COMMON SCHOOLS OF ROBESON COUNTY FOR THE INDIAN RACE. The General Assembly of North Carolina do enact:","That whenever the said committee shall decide that any person, or persons, are not entitled to admission in said schools, it shall, in writing, at once notify the teachers in charge of said school, or superintendent or principal thereof, as well as the chairman of the Board of Trustees, or the chairman or one member of the committee of said schools, and the County Superintendent, and from and after the receipt of such notice such persons so denied admission shall be ineligible until the said decision shall be reversed, either by said committee or the Superior Court or the Supreme Court on appeal, and shall not be admitted until notice is received that such action has been reversed, and a violation of this section shall constitute a misdemeanor punishable by fine or imprisonment, or both, in the discretion of the court.",0
1917_private laws_36_12,project experts,1,private laws,35,11,"CHAPTER 35 AN ACT TO CONSOLIDATE SPECIAL-TAX DISTRICT No. 4, WHITE RACE, IN SADDLE TREE TOWNSHIP, AND SPECIAL-TAX DISTRICT No. 2, WHITE RACE, IN HOW- ELLSVILLE TOWNSHIP; AND TO CHANGE THE NAME OF SAIDSPECIAL DISTRICTS AND TO CREATE THE BARKER-TEN MILE GRADED SCHOOL DISTRICT; TO AUTHORIZE THE BOARD OF TRUSTEES OF SAID DIS- TRICT TO ISSUE BONDS AND TO LEVY AN ADDITIONAL SPECIAL-TAX. The General Assembly of North Carolina do enact:","Whenever the term of office of any class of trustees shall expire, as above provided, their successors shall be appointed for a term of four years by the board of education of Robeson County, the persons to be so appointed to be residents and qualified voters of said graded school district hereby created. All vacancies from said board of trustees, caused by death, resignation, removal from the district, or otherwise, shall be filled by the remaining members of the board of trustees, and the person so chosen shall serve the unexpired term of hiis predecessor, and at the end of such unexpired term his successor shall be appointed by the board of education of Robeson County as hereinbefore provided. The office of trustees shall not be deemed or considered as a public office within the purview of the Constitution of North Carolina.",0
1869/70_public laws_226_34,project experts,1,public laws,225,33,"CHAPTER CCXXYV. AN ACT TO PROVIDE FOR THE COLLECTION OF TAXES BY THE STATE AND BY THE SEVERAL COUNTIES OF THE STATE, ON PROPERTY, POLLS AND INCOME. The General Assembly of North Carolina do enact:","When state taxes to be paid by sheriff : On or before the first day of October in each year every sheriff shall return on oath to the auditor of the state a duplicate account of all taxes collected by him, adding the sum apparently due from the tax list, the amounts collected for penalties for deliquents. The auditor shall deduct from the sum as returned: 1 The amount of taxes charged against any person whom the clerk of the commissioners shall certify to have appealed from a decision of the commissioners respecting his liability, and to have given the bond required: Provided, That the clerk of the court to which the appeal was taken shall certify that it is pending and undecided. The sum so unliquidated shall be carried forward by the auditor as a charge against the sheriff on his next years account from year to year until the decision of the appeal, after which they shall be collected and paid or balanced, if the final decision be in favor of the appellant. 2 All poll taxes and taxes on personal property certified by the commissioners of the county through their chairman or clerk to be insolvent and uncollectable. 3 Five per centum commissions on the amount collected and traveling expenses to and from the city of Raleigh, at the rate of ten cents per mile by the usual route of travel. 4 All payments duly made upon the order of the anditor of the state.",0
1889_public laws_199_15,project experts,1,public laws,198,14,CHAPTER 198 An act for the relief of certain soldiers of the late war between the States. The General Assembly of North Carolina do enact:,"That the auditor shall,as soon as the same is ascertained, transmit to the register of deeds of the several counties a correct list of the pensioners (with their post-offices) as allowed by the State board of pensions.",0
1905_public laws_359_2,project experts,1,public laws,358,1,"CHAPTER 358 AN ACT TO AMEND CHAPTER 273, PUBLIC LAWS 1903, ENTITLED AN ACT FOR THE RELIEF OF CERTAIN CON- FEDERATE SOLDIERS, SAILORS AND WIDOWS. The General Assembly of North Carolina do enact: _","That chapter two hundred and seventy-three of the Public Laws of one thousand nine hundred and three be amended by striking out all of line fourteen after the word viz. : and all of lines fifteen, sixteen, seventeen, eighteen, nineteen, twenty, twentyone, twenty-two and twenty-three of said section, and the words thirty dollars in line twenty-four, and inserting in lieu thereof the following: First. To such ns have received a wound as renders them totally incompetent to perform manual labor in the ordinary vocations of life, sixty dollars. Second. To such as have lost a leg above the knee or an arm above the elbow, forty-five dollars. Third. To such as have lost a foot or a leg below the knee, or a hand or arm below the elbow, or have a leg or arm utterly useless by reason of a wound or permanent injury, thirty-five dollars. Fourth. To such as have lost an eye, and the widows and all other soldiers who are now three-fourths disabled from any cause to perform manual labor, twenty dollars.",0
1907_public laws_259_9,project experts,1,public laws,258,8,CHAPTER 258 AN ACT TO AMEND AN ACT TO PROVIDE FOR THE ASSESS- MENT OF PROPERTY AND COLLECTION OF TAXES. The General Assembly of North Carolina do enact: That chapter five hundred and ninety of the Public Laws of one thousand nine hundred and five be amended so as hereafter to read as follows: ARTICLE I. BoarRD OF STATE TAX COMMISSIONERS.,"After the various tax-lists required to be made under this act shall have been passed upon by the County Board of Equalization, the said several tax-lists shall be subject to inspection by the said Board of State Tax Commissioners, or by any member thereof; and in case it shall appear or be made to appear to said board that property subject to taxation has been omitted from said list, the said board may issue an order directing the assessor or lister whose assessment or failure to assess are complained against, to appear with his tax-list at a time and place to be stated in said order, and the place to be at the office of: the Board of County Commissioners at the county-seat, or such other place in said county in which said roll was made, as said board shall deem most convenient for the hearing herein provided for. A notice of the time and place that said assessor or lister is   ordered to appear, with said list, shall be published in a newspaper published at the county-seat in said county, if there be one; if not, in some paper printed in said county, if there be any, at least five days before the time at which said assessor or: lister is required to appear, and personal notice shall be given by mail to said persons whose property or whose assessments are to be considered, at least five days prior to said hearing. A copy of said order shall be served upon the tax officer in whose possession said list shall be, at least three days before he is required to appear with said list. The said board, or any member thereof, shall appear at the time and place mentioned in said order, and the assessing or listing officer upon whom said notice shall have been served shall appear also with said tax-list. The said board or any member thereof, as the case may be, shall then and there hear and determine as to the proper assessments of all property and persons mentioned in said notice, and persons affected or liable to be affected by the review of said assessments thus pyrovided for may appear and be heard at said hearing. In case said board, or the member thereof who shall act in said review, shall determine that the assessments so reviewed are not assessed according to law, he or they shall, in a column provided for that purpose, place opposite said property the TRUE and lawful assessment of the same. As to the property not on the tax-list, the said board, or members thereof acting in said review, shall place the same upon said tax-list by proper description, and shall place thereafter in the proper column the TRUE cash value of the same. In case of review under this section, the said board or the member thereof acting in said review, shall certify under his hand officially and spread upon said list a certificate of the day and date at which said tax-list was reviewed by him, and the changes made by him therein. For appearing with said list as required herein the tax officer shall receive the same pay per diem as is received by him in the preparation of the tax-list to be presented to and paid by the proper officers of the county or municipality of which he is the assessing officer in the manner as his other compensation is paid. The action of said board or member taken as provided in this act shall be final.",0
1907_public laws_821_11,project experts,1,public laws,820,10,CHAPTER 820 AN ACT TO STIMULATE HIGH SCHOOL INSTRUCTION IN THE PUBLIC SCHOOLS OF THE STATE AND TEACHER TRAINING. The General Assembly of North Carolina do enact:,"The sum of fifty thousand dollars, or so much thereof as may be necessary, is hereby annually appropriated for the purposes of high school instruction and teacher training provided for in this act. The State Board of Education shall have the power to fix such rules and regulations in accordance with the provisions of this act as may be necessary for the proper distribution of this fund.",1
