chapter,section,text
CHAPTER 1.,Sec. 11.,"Sec. 11. Each board of directors at their annual meeting shall, on  nomination of the superintendent, appoint a steward, and if they  shall think proper to do so, a matron also, who shall hold their places  for one year, unless sooner suspended or removed by the superin-  tendent or board of directors for good cause, in which case their  successors shall be nominated and appointed for the unexpired terms  of those removed. The method of procedure for the suspension and  removal of assistant physician, contained in the preceding section of  this act, shall be followed in the suspension and removal of any  stewardormatron. Thesteward, before entering upon the discharge  of his duties, shall execute to the hospital a bond in the sum of two  thousand and five hundred dollars, with sureties to be approved by  the board of directors, conditioned for the faithful administration of  his duties, and the proper accounting and disbursement of all money  and property coming into his hands. The state treasurer shall be  treasurer of said corporations. The state treasurer shall keep all  accounts of the institutions, and shall pay out all moneys upon the  warrant of the respective superintendents, countersigned by two  members of the board of directors, under such rules and regulations  as the respective boards may establish.    "
CHAPTER 1.,Sec. 12.,"Sec. 12. Each board of directors shall fix the salaries and compen-  sation of the superintendent, and the officers and employees whose  services may be necessary for the management of the hospital under  charge of said board: Provided, that the salaries shall not be dimin-  ished during the term of the incumbents: Provided further, that  the salary of the superintendent shall be a sum certain, without  other compensation or allowance, except such rooms in the hospital  for the use of his family, and such articles of food produced on the  premises as said board of directors may permit. ame  "
CHAPTER 1.,Sec. 13.,"Sec. 13. Each superintendent shall exercise exclusive direction  and control over all the subordinate officers and employees engaged  in the service and labors of his hospital, and he may discharge such  as have been employed by himself or his predecessors, and shall re-  port to the board of directors of his hospital the misconduct of all  subordinates. |  "
CHAPTER 1.,Src. 14.,"Src. 14. Each board of directors shall make all such by-laws and  regulations for the government of their institutions as shall be nec-  essary ; among which regulations shall be such as shall make the  institution as nearly self-supporting as is consistent with the pur-  pose of its creation. The board shall cause the by-laws and regula-  tions, the report of the superintendent, and that of the treasurer, to  be published with their report to the general assembly, copies of  which shall be sent to the clerk of the superior [court] of every  county in the state.  "
CHAPTER 1.,Sec. 15.,"Sec. 15. For admission into a state hospital, the following proceed-  ings shall be had: Some respectable citizen, residing in the county  of the alleged insane person, shall make before and file with the clerk  of the superior court of the county, an affidavit in writing, which  shall be substantially in the following form:    State OF NORTH CAROLINA,    Ly yeaa Sle County.  The undersigned, residing in said county, makes oath that he has  carefully examined ___._____- and believes him to be an insane per-   "
CHAPTER 1.,"son, and","son, and to be, in the opinion of the undersigned, a fit subject for  admission into a hospital for the insane.  Dated .... day of ..--.- 7A. D) ae    _ Sworn and subscribed before -_.....--- , Clerk superior court.    Whereupon, unless the person in whose care or custody the insane  person is, will agree to bring him before said clerk without a war-  rant, or unless the clerk shall be of the opinion that it will be inju-  rious to the insane person to be brought before him, the clerk shall  issue a precept, directed to the sheriff or other lawful officer, sub-  stantially in the following form :     STaTE OF NORTH CAROLINA.  To the Sheriff or other lawful officer of -.---- county Greeting :    Whereas, information on oath, has been laid before me that ------  is insane, you are hereby commanded to bring him before me  within the next ten days that necessary proceedings may be had  thereon. Given under my hand .--- day of ------ TEAR D)"
CHAPTER 1.,Ss 2,"Ss 2   eae aaNet , Clerk superior court.    - If the alleged insane person be confined in jail otherwise than for  crime, the sheriff shall remove him from the jail upon the order from  the clerk. Upon the bringing of the alleged insane person before  the clerk by his friends, or upon the return of the precept with the  body of [the] insane person, the clerk shall call to his assistance the  county physician of said county, or some other licensed and reputa-  ble physician, resident of this state, and shall proceed to exam-  ine into the condition of mind of the alleged insane. person; he  shall take testimony of at least one licensed physician, resident of  this state, and if possible, a member of the family, or some friend or  person acquainted with the alleged insane person, who has had op-  portunities to observe him after such insanity is said to have begun.   If the clerk, after his examination of: the alleged insane person,  and the hearing of the testimony as aforesaid, shall decide that such  person is sane, he shall forthwith discharge him. If he shall decide  that such person is insane, and some friend, as he may do, will not  become bound with good security, in an amount to be fixed by the  clerk, to restrain him from committing injuries, and to keep, sup-  port and take care of: him until the cause for confinement shall cease,  he shall direct such insane person to be removed to the proper hos-  pital as a patient, and to that end he shall direct a warrant to the  sheriff, or other officer, and at the same time shall transmit to the  proper board of directors the examination of the witnesses, and the  statement of such facts as he shall deem pertinent to the subject  matter, which warrant shall be substantially as follows:    STATE OF NORTH CAROLINA.  To the Sheriff or other lawful officer of ---. countyGreeting :  Whereas, it has been made to satisfactorily appear to me  clerk of the superior court of said county, that .._.__.__- , a citizen  of the state, is an insane person, that he has a legal settlement in  said county, and is a fit subject for a state hospital, and that his  being at large is injurious to himself and disadvantageousif not dan-  gerous to the community: you are hereby commanded to take the  emits 625. 12.501 h , and convey him to the proper hospital, and there  deliver him to the superintendent thereof for safe keeping.  Given under my hand this -._- day of     If the clerk of the court shall be of the opinion that it will be in-  jurious to the alleged insane person to be brought before him, the  clerk shall proceed to the residence or habitation of said person and  take the examination there.   In a case of emergency, when for any reason the clerk of the court  can not go oris absent from the county, then any justice of the  peace is hereby authorized to proceed in like manner by taking the  testimony of the physician and other witnesses, as is before provided  for in this section, and report the same to the clerk. If the clerk is  satisfied- that the alleged insane person is a fit subject for a hospital  for the insane, he shall issue an order for hiscommitment. In cases  of great emergency or inconvenience, the said justice may commit  a patient to a hospital, and the superintendent is authorized to re-  ceive him, but the justice shall procure an order from the clerk to  be forwarded to the superintendent within thirty days. The follow-  ing fees shall be allowed to the officers who make the examination  and they shall be paid by the county in which the alleged insane  person is settled: to the clerk or justice who makesthe examination,  two dollars, and if the clerk goes to the home of the insane person,  he shall be entitled, in addition to this sum, to five centsa mile each  way. This shall cover his entire cost in taking the examination,  and making out the necessary papers.   The physician called in the absence of the county physician, shall  be entitled to two dollars with mileage. The sheriff shall be entitled  to such fees as are now allowed by law for the service of process of  similar character.   The county physician, being a salaried officer, is not allowed any  fee for his services in this examination.  "
CHAPTER 1.,Szc. 16.,"Szc. 16. Whenever any citizen or resident of this state becomes  suddenly or violently insane, in some county other than that of his  settlement, the proper authorities, as hereinbefore provided, of any  county in which he shall be, shall have authority to examine him,  and if necessary commit him to the hospital to which he would be  sent had he been committed from the county of his own settlement.  Tmmediately upon the commitment to a hospital of any such person,  a transcript of the proceedings shall be sent to the clerk of the  county in which he is settled, and that county shall pay over to  that county from which he was committed, all the cost of the ex-  amination and commitment, and if the board of commissioners  of the county of the settlement shall fail to pay all proper expense  of said proceedings within sixty days after the claim shall have been  presented, they shall forfeit and pay to the county which committed  the insane person the sum of two hundred and fifty dollars, to be  recovered bythe commissioners of that county in a,civil action  brought in the superior court of that county from which the patient  was committed to the hospital, against the commissioners of the     other county. If any person not a citizen or resident of this state,  but a citizen and resident of another state of the United States)  shall be ascertained to be insane, the clerk of the court shall imme-  diately notify the governor of the state of which the insane person  is a citizen, of the facts and circumstances by letter (or telegraphic  message if he thinks proper), and for a reasonable length of time  the insane person shall be kept confined or restrained in said county>  but shall not be committed to any state hospital, and if the state of his  citizenship shall not provide for the removal from this state to his  proper state of the insane person within a reasonable time, the  county commissioners of the county in which he shall have been  ascertained to be an insane person, shall cause him to be conveyed  to the state of which he is a citizen and delivered there to the sheriff  of his county or to the superintendent of any state hospital. The  cost of such proceedings and conveyance away from this state shall  be borne by the county in which the person shall have been adjudged  to be insane. If any person, not a citizen of the United States,  shall be ascertained to be insane, the clerk of the court shall imme-  diately notify the governor of this state of the name of the insane  person, the country of which he is a citizen, and his place of resi-  dence in said country if the same can be ascertained, and such other  facts in the case as he may obtain, together with a copy of the ex-  amination taken; and the governor shall transmit said information  and examination to the secretary of stateat Washington, D. C., with  the request that he inform the minister resident or plenipotentiary  of the country of which the insane person is supposed to b@a citizen.  "
CHAPTER 1.,Sec. 17.,"Sec. 17. The clerk will keep a record of all examinations of persons  alleged to be insane, and he shall record in such record a brief sum-  mary of the proceedings and of his findings, and whenever a justice  of the peace shall transmit to the clerk a report of his proceedings  (when he shall have examined a person under the powers granted  under this act), the clerk shall make a record of his proceedings,  and for recording the justices proceedings he shall be entitled to a  fee of twenty-five cents, to be paid by the county aforesaid, and he  shall keep a record of all probations and discharges provided for in  section twenty-two of this act.  "
CHAPTER 1.,Sec. 18.,"Sec. 18. No clerk of the court or justice of the peace shall com-  mit to a hospital any person who is not a bona fide citizen and resi-  dent of this state; and no person who shall have removed into this  state from another state while insane, shall be deemed a resident or  citizen of this state, and no length of residence in this state of a  person who was insane at the time he moved into this state, shall be  sufficient to make that person a citizen or resident of North Caro-  lina within the meaning of thislaw. In every examination of an  alleged insane person it shall be the duty of the clerk or justice of  the peace to particularly inquire whether the alleged insane person     is a resident of this state,as hereinbefore set forth, and he shall  state his findings upon the subject in his report to the superintend-  ent of the hospital. If it is not possible to ascertain the legal res-  idence of the alleged insane person, and the clerk or justice of the  peace shall be of the opinion that the insane person is a resident of  this state, within the meaning of this law, he shall state that he was  unable to ascertain the legal residence of the insane person, and  shall commit him to the hospital of his district. If any clerk or jus-  tice of the peace shall knowingly commit to any hospital a person  who is not a bona fide citizen and resident of this state, he shall be  guilty of a misdemeanor, and upon conviction shall be fined or im-  prisoned at the discretion of the court. No cretin or idiot shall be  committed to any hospital, and for the purpose of this act, an idiot  is defined to be a person born deficient or who became deficient be-  fore the full completion of the twelfth year of age.  "
CHAPTER 1.,Src. 19.,"Src. 19. The following questions with their respective answers,  by at least one. licensed physician, resident of this state, and such  other competent witnessesas the clerk or justice shall determine, duly  sworn and subscribed by them, and so certified by said clerk or jus-  tice, shall be transmitted with the other papers to the superintend-  ent of the proper hospital, to be reported as soon as practicable to  the board of directors. Pending the consideration of the ap  tion by the board of directors, the patient shall remain in the cus-  tody of the officer or such person as the clerk may designate until  it can be ascertained if there is room for the patient at the hospital.   Questio& 1. What is the name of the patient?    Answer ___.-.---.--   Question 2. Is ........-- white or colored ?   Amswer 2.2 J22:.---   Question 3. . What is ---.--.----- age?   Answer __---.------   Question 4. What is the occupation of patient ?   Answer ._.---------   Question 5. Is ._._....__.- married or single; and if married for  how many years?   Answer __..-----.--    Question 6. If patient be married woman, state maiden name.  Answer ___--_------    Question 7. Has ....-.--.--_- any education, if so how much?  Answer _..-.--.----   Question 8. Where was __..._...--. born ?   Answer 2222) 2/3122    Question 9. How many attacks of mental disease has the patient,  had ? =  Answers. 25s os     Has) 2208) shoes been subject to epilepsy ?         ( Q necting 12. How long has 22 .---------- been insane? (Count  mm. the first symptoms of present attack, and give all known    L    aptoms from that time to this date.)             > Question 13. In what way is the disease exhibited?  i Answer ___--..-----    f ) Question 1a as 8 2 any delusions? If so what are they?    > Answer _._/____.----   » Question 15. Is _-....-- destructive to clothing or furniture?  Answer ____-.------ i   » Question AGS) SIs e222 5220: filthy: or indecent ? -   ' Answer Se ne eens    » Question 17. Has the patient manifested any propensity to injure    = or others? If so, in what way and how often?  Answer _.-._-------    Question 18. Has ..-....... ever threatened suicide ?  » Answer _._.___.__-.  Question 19. Has ._..._.. ever attempted suicide?  » Answer ._-__-_--.--  *Question 20. Has ___._.---- : ever threatened homicide?  . Answer __...---.---  | Question 21. Has .....__.-. ever Maeboipted to commit homicide ?  Answer _____...__-- eet  Question 22. Has __------ any family? And if so, what.persons  compose it? Age of youngest child?  _ Answer __.._-.-.---    ea 23. Are any of thems insane, and what is the character   
5	1	13	2	1	2	267	2036	103	34	95	such
5	1	13	2	1	3	383	2035	176	43	92	insanity
5	1	13	2	1	4	559	2028	27	40	92	?
3	1	13	3	0	0	216	2049	473	89	-1	
4	1	13	3	1	0	216	2049	473	89	-1	
5	1	13	3	1	1	216	2049	201	89	0	Sitavior
5	1	13	3	1	2	437	2121	55	6	7	Lena
5	1	13	3	1	3	501	2122	12	4	10	ee
5	1	13	3	1	4	525	2121	55	5	4	aN
5	1	13	3	1	5	588	2121	101	5	7	CRA
3	1	13	4	0	0	206	2138	1465	111	-1	
4	1	13	4	1	0	220	2138	1451	61	-1	
5	1	13	4	1	1	220	2138	21	49	0	 Question 24. Are parents of the insane person related by blood ?  Tf so, what is the degree of case ?        . Question 28. Has, any medical treatment, been pursued  what kind and by whom ? ie  Answer _........--- Bi  Question 29. Is .....- in jail? }  Answer ......-.----  ye  Question 30. Is -..--- in poor house?  Answer._..-.------- : i ee  Question 31. Is _...-. under any forcible restraint ? If ,  Answer __.....-.-.-   Question 32. Has patient any property? If so, eee a  property consists, and what is the value thereof ?  . Amswer _..._-..----                               so, what?  Answer pga eS Sy    with whom the Siperintéadent of the ieee can conan  circumstances require, for the benefit of the patient ?  Answer __......----    Relationship ._........-- : aie  P. O. address .....-.1_-_- aie ba  .Question 35. Give any information in your possession not emi:  braced in the above question, which may throw light on the mentai    or physical condition of the patient?  he  Answer _...-..--.-. : a4  Same RN Rar ta ne by cid ected ,M.D am   Vif    STATE OF NORTH CAROLINA.    Ma le 2c Nes ks aie County Wibinit  Before ES im , Officer,. _.-22.2 een duly aitharived to : ad  minister an oath, this .... day of -....., A..D....., came <..5..22  MDS ease one persons known to be credible and reliable.    Se aeense   "
CHAPTER 1.,sane person,"sane person in their county, not admitted to the appropriate es a i:  and not cammnitbed for crime, when it shall appear cppen thes ce Pa          board, that such insane person ought to be discharged if in a hos-  pital. '  "
CHAPTER 1.,SEC. 21.,"SEC. 21. Wherever any insane person shall be conveyed to any  hospital, and the superintendent is in doubt as to the propriety of  his admission, he may convene any three of the board of directorsof  his hospital, who shall constitute a board for the purpose of exam-  ining and deciding if such person is a proper subject for admission ;  and if a majority of such board so decide, such person shall be re-  ceived into said hospital; but a like board may at any time there-  after deliver said insane person to any friend who will become  bound with good surety, to restrain him from committing injuries,  and to keep, maintain, and take care of him, in the same manner as  he might have become bound under the authority of the clerk of the  court.  "
CHAPTER 1.,Sec. 22.,"Sec. 22. Any three of the board of directors of any hospital, upon  the superintendent certifying the facts, (a copy of which certificate  shall be sent to the clerk of the superior court of the county of settle-  ment), shall be a board to discharge or remove from their hospital  any person admitted as insane, when such person has become, or is  found to be of sane mind, or when such person is incurable, and in  the opinion of the superintendent his being at large will not be in-  jurious to himself or dangerous to the community, or said board  may permit such person to go to the county of his settlement on  probation, when in the opinion of the said superintendent it will not  be injurious to himself or dangerous to the community ; and said  board may discharge or remove such person, upon other sufficient  causes appearing to them, and whenever any such person, admitted  as indigent, may be so discharged or removed, except as sane, it shall  be the duty of the sheriff of the county of his settlement to convey  such person to his county at its expense, and any such person  discharged as sane shall receive from such hospital a sum of money  sufficient to pay his transportation to the county of his settlement,  which sum shall be repaid by said county, and if necessary, the  hospital shall provide the patient with a decent suit of clothes.   hen notified by the superintendent to come for, and remove any  insane person from the hospital, it shall be the duty of the sheriff of  the county, in which the insane person has a settlement, forthwith  to convey the insane person from the hospital to the county of his  settlement. The cost of said removal shall be advanced by the  sheriff and repaid to him by the county of insane persons settlement,  and if any sheriff, after having been notified by the superintendent  to remove any insane person as aforesaid, shall fail to do so within  fifteen days from the time of the receipt of the letter of notice, he  shall forfeit and pay to the said hospital the sum of fifty dollars, to  be collected in the manner hereinafter provided for the collection of  penalties, given in this act, and if the commissioners of any county     shall fail to repay to the hospital the money disbursed in paying for  the necessary clothesand traveling expenses of any person discharged  as cured from said hospital, within sixty days after the presentation  of a claim therefor, the said commissioners shall forfeit and pay to  the said hospital the sum of fifty dollars to be collected iu the man-  ner hereinafter provided for the collection of penalties.  "
CHAPTER 1.,Src. 238.,"Src. 238. Each superintendent may, for the space of thirty days,  or until the next meeting of the board of three directors provided  for in section twenty-two of this act, discharge upon probation any  patient, when in his opinion the same would not prove injurious to  the patient or dangerous to the community. A report of all such  probations shall be rendered to the said board of three directors at  their first ensuing meeting. «  "
CHAPTER 1.,Src. 24.,"Src. 24. Every sheriff or other person bringing to a hospital a  patient, shall see that the patient is clean, free from contagious dis-  ease and vermin, and that he has clothing proper for the season of  the year, and in all cases tivo full suits of underclothing. When  necessary to buy clothing for the patient, or to do any act necessary  to comply with this section, the sheriff shall make the purchase, or  have done the act, and the same shall be paid for by the state hos-  pitals. If any sheriff or other person shall carry to a hospital a  patient without meeting the requirements of this section, he shall  forfeit to, and pay to the hospital to which he carries the patient  the sum of twenty-five dollars, to be recovered by said hospital in  the manner hereinafter provided, and if any state hospital shall fail  to repay to the sheriff the money properly and necessarily expended  in having any patient properly attended to and clothed and pro-  vided with clothes as hereinbefore required, within sixty days after  the sheriff or other person, shall have presented to them his account  for the same the state hospitals shall forfeit to the said sheriff, or  other person, ithe sum of twenty-five dollars, to be recovered by  the sheriff or other person in a civilaction before any justice of the  peace of the county.  "
CHAPTER 1.,Src. 25.,"Src. 25. No sheriff or other person shall convey a patient to any  hospital without having ascertained that the patient will be admit-  ted, and if any sheriff or other person shall carry a patient to a hos-  pital without having ascertained that the patient will be admitted,  and the patient is not admitted, he shall be required to convey the  patient back to the county of his settlement, and he shall not be re-  paid by the county or the hospital, for the expenses incurred in carry-  ing the patient to and from the hospital.  "
CHAPTER 1.,Src. 26.,"Src. 26. The superintendent of the hospital may refuse to receive  into his institution a patient when he shall have reliable information  that the patient has recently been exposed to infectious or contagi-  ous disease, and there is danger of contagion and infection being  conveyed by the patient or where the patient comes from a quaran-  tined community. Whenever a patient is rejected because of any     of these reasons, the superintendent shall make a record of the ap-  plication, and as soon as, in his opinion, the danger shall have been  removed, he shall notify the sheriff of the county,and admit the  patient into his hospital.  "
CHAPTER 1.,Src. 27.,"Src. 27. Any superintendent may notify the sheriff within whose  county any person sent from his hospital on probation, or escaped  therefrom, may be found, and thereupon it shall be the duty of such  sheriff forthwith to take such person and return him to such hos-  pital at the expense of the county of the settlement of the patient.  "
CHAPTER 1.,Src. 28.,"Src. 28. For the purposes of this chapter the settlement of every  person admitted toa state hospital as insane shall be in the county  where the actual place of his residence at his admission may be sit-  uated, when such settlement comes in .question, but no person can  have a settlement in any county in this state unless he is a bona fide  citizen and resident of this state, and wasso before mental disease  became manifest.  "
CHAPTER 1.,Sec. 29.,"Sec. 29. All bonds executed for restraining insane persons from  committing injuries, and for their safe keeping, support and care,  shall be payable to the state of North Carolina, in the sum of five  hundred dollars at least, and shall be transmitted to the clerk of the  superior court of the county wherein said insane person is settled,  for safe keeping, and may be put in suit by any person injured by  said insane person by reason of his insane condition ; and shall be  put in suit by the solicitor for the judicial district, in which the  county of said insane persons residence is situate, for any other  breach thereof, wherein the damage received shall be for the use of  said insane person.  "
CHAPTER 1.,Src. 30.,"Src. 30. The form of bond mentioned in preceding section shall be  as follows:    STATE OF NORTH CAROLINA,    County of -___....__-.  Know all men by these presents, that we A________-- DS ts  principal, and C_____...- DR esa oe a. ,and H__-______- Pee eee ees  sureties, are held and {firmly bound unto the state of North Caro-  lina in the sum of _________. dollars for the payment whereof we  bind ourselves and each of us.  Witness our hands and seals this -______ day .----- pete    The condition of the above obligation is this:   Whereas, the said A_... B_... with the view of hindering G..._--  H... - an insane person resident in the county aforesaid from being  jsent to__._---- insane {hospital (or to effect his release from the  said hospital as the case may be) hath undertaken to restrain him  from committing injuries and to keep, maintain, support and take  care of the said G________ Me. aoe , Now, if the said A     BEY dae Se shall faithfully comply with the conditions of this obli-  gation, then the same shall be void, otherwise it shall be in full  force.    Y RAE to kee B_ [Seal]  (ORES TUN a D_ [Seal]  IE eee ee F [Seal]   "
CHAPTER 1.,Sec. 31.,"Sec. 31. No director or superintendent of any state hospital shall  be personally liable for any act or thing done under, or in pursuance  of any of the provisions of this chapter.   Sc. 32. The cost and expenses of conveying every insane person  to any hospital, from any county, or of removing him from the hos-  pital to his county, or of the return to the county of his settlement,  as same, shall be paid by the treasurer of such county, upon the or-  der of its board of county commissioners. Whenever the board of  commissioners shall be satisfied that such person has property suf-  ficient to pay such cost and expenses, or that some other person. lia-  ble for his support and maintenance, has property sufficient to pay  such costs and expenses as aforesaid, they shall bring an action and  recover the amount paid from the said person, or from the other  person liable for his support and maintenance.  "
CHAPTER 1.,Src. 38.,"Src. 38. Whenever it shall be made to appear to the clerk of the  superior court of the county of settlement of an insane person re-  leased on bond, that the conditions of the bond are not faithfully.  complied with, said insane person shall be sent back to the proper  hospital by him, unless some other responsible and discreet friend  will undertake to fulfill the duties of said obligation and whenever  said insane person shall be sent back, he shall not be delivered om  any new bond of the defaulting obligor.   Src. 38. The close of the fiscal year shall be the thirtieth day of  November in each year, and all accounts and estimates shall be  madé with reference thereto. .  "
CHAPTER 1.,Sec. 34.,"Sec. 34. All moneys and proceeds of property given to any hos-  pitals, and all money arising from the sale of any real estate which  may be owned by such hospital, shall be paid into the state treasury,  and all donations in which there shall be special directions for their  applications, shall be kept as a distinct fund_and faithfully applied,  as the donor may have directed ; and the same hospital shall be sup-  ported by appropriations from the state treasury. But the proceeds  arising from the sale of personal property belonging to a hospital,  the board paid by private patients, rentals from real estate, and  money from any other sources, except the sale of real estate, shall  remain with the hospital and be used as the board of directors may  determine. An account of the proceeds of all such income and its  expenditure shall be carefully kept and published in the report to  the general assembly.  "
CHAPTER 1.,Src. 35.,"Src. 35. In order to secure their constant supervision and attend-  ance, the officers and employees of any state hospital shall be ex-  empt from serving on juries, in the militia, and from the duty of  working on the public roads.     Src. 35. Each board of directors shall cause all their proceedings  to be faithfully and carefully written and recorded in books, and to  this end may employ a clerk, and pay him a reasonable compensation  for his services. The books shall, at all times, be open to the inspec-  tion of the general assembly.  "
CHAPTER 1.,Src. 37.,"Src. 37. The board of public charities and the members of the gen-  eral assembly shall be ex officio visitors of. all state hospitals. It  shall be the duty of the board of public charities to visit the hospitals  from time to time, as they may deem expedient, to examine into  their condition and make report thereon to the general assembly,  with such suggestions and remarks as they may think proper. And  to the said board, and to the-board of directors of his hospital, and  to the general assembly only shall each superintendent be required  to make reports or furnish statistics.  "
CHAPTER 1.,Src. 39.,"Src. 39. Whenever any person shall be found to be insane in the  mode hereinbefore prescribed, and such person shall be possessed of  an income sufficient to support those who may be legally dependent  for support on the estate of such insane person, and moreover, to  support and maintain such insane person in any named hospital  without the state, or any private hospital within the state; and  such insane person, if of capable mind to signify such preference,  shall, in writing, declare his wish to be placed in such hospital in-  stead of being in a state hospital (or in case such insane person is  incapable of declaring such preference, then the same may be de-  clared by his guardian) and two respectable physicians who shall  have examined such insane person, with the clerk of the court or  justice of the peace who made the examination, shall deem it proper,  then it may be lawful for said clerk or justice, together with said  physicians, to recommend in writing, that such insane person shall  be. placed in the hospital so chosen as a patient thereof.  "
CHAPTER 1.,Sec. 40.,"Sec. 40. It shall be the duty of any person having legal custody of  the estate of such insane person to supply funds for'his support in  the hospital in which he may be so placed during his stay therein,  and so long as they may be sufficient for that purpose, over and be-  yond maintaining and supporting those persons who may be legally  idependent on Pie estate as aforesaid.  "
CHAPTER 1.,Suc. 41.,"Suc. 41. It shall be the duty of the justice, when he shall act, to  report the proceedings in such cases to the clerk of the superior  leourt of the county in which such insane person may reside or be  domiciled.  |"
CHAPTER 1.,Sec. 42.,"Sec. 42. The clerk of the court shall lay the proceedings before the  judge of the superior court of the district in which such insane per-  son may reside or be domiciled, and if he approve them, he shall so    2     declare in writing, and such proceedings with the approval thereof.  shall be recorded by said clerk.  "
CHAPTER 1.,Src. 48.,"Src. 48. A certified copy of such proceedings, with the approval of  said judge, shall be sufficient warrant to authorize any friend of  such insane person appointed by the said judge to remove him to the  hospital designated.  "
